%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1531943856129688866,888,1531943856129329318,,1500,1468,1356,1492,1483,1483,1500,2036
1531943856457863333,889,1531943856457616360,,1500,1474,1372,1484,1467,1467,1500,2036
1531943856893017670,890,1531943856892401134,,1500,1485,1372,1466,1431,1431,1500,2036
1531943857270815628,891,1531943857268745060,,1500,1501,1372,1466,1432,1432,1500,2036
1531943857677404036,892,1531943857677058056,,1500,1521,1372,1469,1438,1438,1500,2036
1531943858036028524,893,1531943858035330484,,1500,1530,1356,1475,1450,1450,1500,2036
1531943858382174860,894,1531943858381538771,,1500,1532,1356,1480,1460,1460,1500,2036
1531943858774288276,895,1531943858774056983,,1500,1535,1372,1486,1472,1472,1500,2036
1531943859132927557,896,1531943859132294924,,1500,1537,1412,1495,1489,1489,1500,2036
1531943859423458706,897,1531943859423097174,,1500,1532,1436,1509,1518,1518,1500,2036
1531943859719166210,898,1531943859718709032,,1500,1528,1444,1511,1523,1523,1500,2036
1531943860111931980,899,1531943860111677903,,1500,1515,1460,1509,1519,1519,1500,2036
1531943860412520938,900,1531943860411815218,,1500,1503,1484,1517,1534,1534,1500,2036
1531943860855055799,901,1531943860854687420,,1500,1491,1492,1527,1555,1555,1500,2036
1531943861202880789,902,1531943861198714789,,1500,1481,1452,1531,1562,1562,1500,2036
1531943861490399857,903,1531943861489938774,,1500,1488,1428,1528,1556,1556,1500,2036
1531943861888591146,904,1531943861887552342,,1500,1503,1404,1522,1545,1545,1500,2036
1531943862357804403,905,1531943862357437879,,1500,1510,1412,1513,1526,1526,1500,2036
1531943862670050550,906,1531943862668089964,,1500,1511,1436,1509,1518,1518,1500,2036
1531943863058690662,907,1531943863058207083,,1500,1515,1452,1499,1497,1497,1500,2036
1531943863373737038,908,1531943863373590384,,1500,1519,1452,1500,1499,1499,1500,2036
1531943863723408295,909,1531943863722400179,,1500,1520,1436,1500,1500,1500,1500,2036
1531943864072310538,910,1531943864069656744,,1500,1521,1420,1499,1497,1497,1500,2036
1531943864474973285,911,1531943864474681449,,1500,1523,1404,1501,1503,1503,1500,2036
1531943864858586077,912,1531943864858219137,,1500,1522,1404,1500,1500,1500,1500,2036
1531943865136837590,913,1531943865136588697,,1500,1522,1404,1506,1513,1513,1500,2036
1531943865440437742,914,1531943865440073235,,1500,1517,1420,1516,1532,1532,1500,2036
1531943865789680889,915,1531943865789534394,,1500,1520,1444,1515,1530,1530,1500,2036
1531943866075701437,916,1531943866075507455,,1500,1522,1444,1511,1523,1523,1500,2036
1531943866401839863,917,1531943866401631834,,1500,1520,1420,1506,1513,1513,1500,2036
1531943866848241099,918,1531943866847959406,,1500,1520,1404,1512,1524,1524,1500,2036
1531943867171660104,919,1531943867171245389,,1500,1524,1404,1512,1525,1525,1500,2036
1531943867511185423,920,1531943867509562242,,1500,1530,1404,1519,1539,1539,1500,2036
1531943867877305061,921,1531943867877112487,,1500,1533,1420,1518,1536,1536,1500,2036
1531943868347180377,922,1531943868346352035,,1500,1532,1412,1519,1539,1539,1500,2036
1531943868604746545,923,1531943868604022457,,1500,1532,1380,1515,1530,1530,1500,2036
1531943869034253302,924,1531943869033912442,,1500,1533,1356,1504,1509,1509,1500,2036
1531943869282572124,925,1531943869281284043,,1500,1533,1340,1503,1506,1506,1500,2036
1531943869632883699,926,1531943869632272602,,1500,1533,1324,1502,1504,1504,1500,2036
1531943869962344281,927,1531943869960829674,,1500,1530,1316,1497,1494,1494,1500,2036
1531943870268442383,928,1531943870268180658,,1500,1530,1332,1491,1481,1481,1500,2036
1531943870738048985,929,1531943870734988892,,1500,1524,1356,1495,1490,1490,1500,2036
1531943871048482719,930,1531943871048220002,,1500,1517,1348,1500,1499,1499,1500,2036
1531943871415938431,931,1531943871415689666,,1500,1515,1324,1498,1495,1495,1500,2036
1531943871768903813,932,1531943871768545321,,1500,1516,1308,1503,1507,1507,1500,2036
1531943872150540615,933,1531943872150441320,,1500,1521,1308,1507,1515,1515,1500,2036
1531943872446171776,934,1531943872445708869,,1500,1525,1308,1514,1529,1529,1500,2036
1531943872731705804,935,1531943872730463610,,1500,1527,1292,1517,1534,1534,1500,2036
1531943873010147273,936,1531943873007295818,,1500,1532,1292,1518,1536,1536,1500,2036
1531943873379745790,937,1531943873379256387,,1500,1535,1300,1518,1536,1536,1500,2036
1531943873715881679,938,1531943873715656113,,1500,1533,1308,1523,1547,1547,1500,2036
1531943874119960925,939,1531943874119605729,,1500,1533,1348,1511,1523,1523,1500,2036
1531943874516261129,940,1531943874505953118,,1500,1527,1380,1510,1521,1521,1500,2036
1531943874867004411,941,1531943874866685054,,1500,1518,1380,1515,1531,1531,1500,2036
1531943875237765740,942,1531943875237418064,,1500,1508,1356,1520,1540,1540,1500,2036
1531943875624561802,943,1531943875624213326,,1500,1506,1380,1519,1539,1539,1500,2036
1531943876083978130,944,1531943876082841567,,1500,1502,1380,1527,1554,1554,1500,2036
1531943876418570790,945,1531943876417348212,,1500,1497,1348,1515,1531,1531,1500,2036
1531943876735095942,946,1531943876734685323,,1500,1501,1316,1517,1535,1535,1500,2036
1531943877098762483,947,1531943877098412663,,1500,1516,1324,1512,1525,1525,1500,2036
1531943877453629768,948,1531943877451833468,,1500,1509,1324,1513,1526,1526,1500,2036
1531943877757948984,949,1531943877757106498,,1500,1509,1380,1505,1511,1511,1500,2036
1531943878130168747,950,1531943878129277045,,1500,1490,1412,1504,1509,1509,1500,2036
1531943878508560796,951,1531943878508249344,,1500,1476,1412,1511,1523,1523,1500,2036
1531943878868468382,952,1531943878867089101,,1500,1482,1404,1504,1509,1509,1500,2036
1531943879164301269,953,1531943879162417899,,1500,1496,1372,1508,1517,1517,1500,2036
1531943879473937012,954,1531943879471253714,,1500,1500,1372,1508,1518,1518,1500,2036
1531943879827912991,955,1531943879827236295,,1500,1500,1364,1509,1518,1518,1500,2036
1531943880075198717,956,1531943880074999680,,1500,1500,1380,1508,1516,1516,1500,2036
1531943880456241277,957,1531943880455845250,,1500,1500,1396,1486,1471,1471,1500,2036
1531943880805538146,958,1531943880805004776,,1500,1520,1348,1473,1445,1445,1500,2036
1531943881184362013,959,1531943881184010113,,1500,1531,1340,1479,1458,1458,1500,2036
1531943881542004074,960,1531943881538445522,,1500,1533,1372,1483,1464,1464,1500,2036
1531943881890194528,961,1531943881889848356,,1500,1532,1396,1490,1479,1479,1500,2036
1531943882236281555,962,1531943882235957655,,1500,1533,1420,1488,1476,1476,1500,2036
1531943882573493131,963,1531943882572644885,,1500,1528,1420,1497,1494,1494,1500,2036
1531943882877438425,964,1531943882876966334,,1500,1524,1420,1502,1504,1504,1500,2036
1531943883218291403,965,1531943883218023790,,1500,1519,1412,1517,1535,1535,1500,2036
1531943883532237869,966,1531943883532052111,,1500,1519,1404,1507,1515,1515,1500,2036
1531943883828414806,967,1531943883827643007,,1500,1521,1396,1508,1516,1516,1500,2036
1531943884030378752,968,1531943884030115843,,1500,1521,1388,1523,1547,1547,1500,2036
1531943884335401514,969,1531943884335048526,,1500,1522,1380,1534,1569,1569,1500,2036
1531943884713935774,970,1531943884705174560,,1500,1530,1364,1520,1540,1540,1500,2036
1531943884962992443,971,1531943884962687902,,1500,1535,1364,1517,1535,1535,1500,2036
1531943885276474220,972,1531943885275469623,,1500,1539,1372,1511,1523,1523,1500,2036
1531943885730349437,973,1531943885728029623,,1500,1541,1396,1502,1504,1504,1500,2036
1531943885968286779,974,1531943885968016350,,1500,1539,1396,1500,1499,1499,1500,2036
1531943886416734063,975,1531943886416371955,,1500,1531,1388,1488,1475,1475,1500,2036
1531943886667380610,976,1531943886667178021,,1500,1529,1388,1477,1454,1454,1500,2036
1531943887080941213,977,1531943887080054567,,1500,1526,1348,1479,1458,1458,1500,2036
1531943887372848233,978,1531943887372173360,,1500,1526,1348,1494,1487,1487,1500,2036
1531943887717912356,979,1531943887717568168,,1500,1527,1356,1497,1493,1493,1500,2036
1531943888169030116,980,1531943888168845062,,1500,1524,1380,1514,1528,1528,1500,2036
1531943888565436265,981,1531943888564847727,,1500,1526,1396,1512,1525,1525,1500,2036
1531943888822272223,982,1531943888821957890,,1500,1527,1388,1515,1531,1531,1500,2036
1531943889209091730,983,1531943889207860319,,1500,1529,1380,1518,1536,1536,1500,2036
1531943889608925622,984,1531943889608362941,,1500,1533,1364,1521,1542,1542,1500,2036
1531943890021920809,985,1531943890021628364,,1500,1535,1356,1508,1516,1516,1500,2036
1531943890362516487,986,1531943890362300073,,1500,1538,1356,1508,1517,1517,1500,2036
1531943890777823399,987,1531943890777484683,,1500,1535,1356,1514,1528,1528,1500,2036
1531943891189685457,988,1531943891189391796,,1500,1535,1380,1520,1541,1541,1500,2036
1531943891548919589,989,1531943891547476213,,1500,1529,1364,1517,1535,1535,1500,2036
1531943891795535129,990,1531943891794118888,,1500,1527,1340,1529,1558,1558,1500,2036
1531943892165517496,991,1531943892165321594,,1500,1534,1380,1534,1568,1568,1500,2036
1531943892533553488,992,1531943892533215316,,1500,1531,1396,1530,1560,1560,1500,2036
1531943892874656690,993,1531943892873914682,,1500,1509,1412,1519,1539,1539,1500,2036
1531943893273828597,994,1531943893273346779,,1500,1493,1444,1523,1547,1547,1500,2036
1531943893539110466,995,1531943893538699111,,1500,1484,1396,1515,1531,1531,1500,2036
1531943893893920690,996,1531943893893659573,,1500,1483,1380,1508,1516,1516,1500,2036
1531943894227404528,997,1531943894226707128,,1500,1480,1324,1519,1539,1539,1500,2036
1531943894516155070,998,1531943894510769082,,1500,1472,1316,1507,1515,1515,1500,2036
1531943894853530388,999,1531943894853094712,,1500,1482,1308,1499,1498,1498,1500,2036
1531943895236660563,1000,1531943895235283715,,1500,1501,1308,1482,1464,1464,1500,2036
1531943895696319210,1001,1531943895695741521,,1500,1512,1308,1477,1454,1454,1500,2036
1531943896006610255,1002,1531943896006075029,,1500,1528,1316,1478,1456,1456,1500,2036
1531943896335527434,1003,1531943896330243780,,1500,1540,1332,1477,1454,1454,1500,2036
1531943896722450215,1004,1531943896721762382,,1500,1553,1380,1486,1472,1472,1500,2036
1531943897095241056,1005,1531943897094726982,,1500,1553,1412,1489,1478,1478,1500,2036
1531943897529138334,1006,1531943897528766786,,1500,1541,1452,1495,1490,1490,1500,2036
1531943897911290517,1007,1531943897910944729,,1500,1526,1436,1506,1512,1512,1500,2036
1531943898216787354,1008,1531943898215768101,,1500,1519,1396,1508,1516,1516,1500,2036
1531943898535650861,1009,1531943898535044500,,1500,1520,1380,1507,1514,1514,1500,2036
1531943898976491718,1010,1531943898975530736,,1500,1526,1372,1507,1515,1515,1500,2036
1531943899258952364,1011,1531943899258673903,,1500,1533,1380,1508,1517,1517,1500,2036
1531943899639812957,1012,1531943899639639359,,1500,1539,1396,1511,1523,1523,1500,2036
1531943899960704063,1013,1531943899960139877,,1500,1544,1420,1509,1519,1519,1500,2036
1531943900325635938,1014,1531943900320752312,,1500,1548,1444,1507,1514,1514,1500,2036
1531943900632815103,1015,1531943900632456739,,1500,1548,1460,1504,1509,1509,1500,2036
1531943901087937578,1016,1531943901087485871,,1500,1547,1452,1499,1498,1498,1500,2036
1531943901417529046,1017,1531943901416578176,,1500,1545,1444,1498,1496,1496,1500,2036
1531943901746432170,1018,1531943901745594931,,1500,1541,1436,1506,1513,1513,1500,2036
1531943902077951554,1019,1531943902077658373,,1500,1538,1444,1506,1513,1513,1500,2036
1531943902417520677,1020,1531943902417139977,,1500,1536,1476,1507,1515,1515,1500,2036
1531943902718313071,1021,1531943902710371654,,1500,1536,1484,1508,1516,1516,1500,2036
1531943903010265723,1022,1531943903006954975,,1500,1532,1476,1505,1511,1511,1500,2036
1531943903429885529,1023,1531943903429327456,,1500,1528,1444,1514,1529,1529,1500,2036
1531943903733463722,1024,1531943903732878032,,1500,1528,1428,1514,1529,1529,1500,2036
1531943904127116646,1025,1531943904126652011,,1500,1533,1444,1513,1527,1527,1500,2036
1531943904426794854,1026,1531943904426229196,,1500,1538,1452,1509,1519,1519,1500,2036
1531943904877748310,1027,1531943904873649378,,1500,1542,1436,1514,1528,1528,1500,2036
1531943905165212956,1028,1531943905164114696,,1500,1542,1420,1517,1535,1535,1500,2036
1531943905576076549,1029,1531943905574124122,,1500,1547,1388,1508,1517,1517,1500,2036
1531943905917237829,1030,1531943905907401648,,1500,1555,1396,1505,1511,1511,1500,2036
1531943906226934878,1031,1531943906224572952,,1500,1554,1412,1502,1505,1505,1500,2036
1531943906605347214,1032,1531943906604939250,,1500,1553,1428,1498,1495,1495,1500,2036
1531943906982783273,1033,1531943906981316024,,1500,1550,1428,1499,1497,1497,1500,2036
1531943907335946864,1034,1531943907335450197,,1500,1543,1404,1501,1502,1502,1500,2036
1531943907680162840,1035,1531943907677500021,,1500,1537,1364,1505,1511,1511,1500,2036
1531943908054623289,1036,1531943908054157470,,1500,1534,1332,1502,1504,1504,1500,2036
1531943908452567807,1037,1531943908452315394,,1500,1537,1324,1505,1511,1511,1500,2036
1531943908770819141,1038,1531943908769085400,,1500,1541,1332,1503,1506,1506,1500,2036
1531943909070575381,1039,1531943909069661087,,1500,1547,1372,1505,1511,1511,1500,2036
1531943909479414859,1040,1531943909471754014,,1500,1550,1420,1511,1522,1522,1500,2036
1531943909871232889,1041,1531943909870788382,,1500,1547,1428,1500,1500,1500,1500,2036
1531943910243131618,1042,1531943910241035928,,1500,1539,1404,1506,1512,1512,1500,2036
1531943910611208693,1043,1531943910610194816,,1500,1531,1388,1507,1514,1514,1500,2036
1531943910913995146,1044,1531943910913659214,,1500,1531,1388,1500,1502,1502,1500,2036
1531943911246574785,1045,1531943911246165190,,1500,1533,1396,1494,1488,1488,1500,2036
1531943911638673399,1046,1531943911637264486,,1500,1535,1388,1496,1491,1491,1500,2036
1531943912008479965,1047,1531943911999947577,,1500,1538,1340,1483,1466,1466,1500,2036
1531943912410864488,1048,1531943912410497580,,1500,1548,1356,1499,1497,1497,1500,2036
1531943912736861899,1049,1531943912736397968,,1500,1549,1380,1522,1544,1544,1500,2036
1531943913044112377,1050,1531943913042500874,,1500,1548,1396,1524,1548,1548,1500,2036
1531943913347308117,1051,1531943913345674855,,1500,1552,1420,1533,1567,1567,1500,2036
1531943913674637197,1052,1531943913674251121,,1500,1544,1428,1539,1579,1579,1500,2036
1531943914013045422,1053,1531943914011707709,,1500,1533,1452,1545,1591,1591,1500,2036
1531943914352014158,1054,1531943914351640754,,1500,1523,1468,1544,1589,1589,1500,2036
1531943914723844940,1055,1531943914723487792,,1500,1489,1508,1530,1560,1560,1500,2036
1531943915069441990,1056,1531943915069238632,,1500,1463,1524,1506,1513,1513,1500,2036
1531943915358965277,1057,1531943915358795903,,1500,1470,1500,1512,1525,1525,1500,2036
1531943915773262071,1058,1531943915772400608,,1500,1482,1404,1516,1532,1532,1500,2036
1531943916094553530,1059,1531943916093631396,,1500,1479,1412,1506,1513,1513,1500,2036
1531943916337474122,1060,1531943916336528212,,1500,1478,1404,1505,1510,1510,1500,2036
1531943916709467792,1061,1531943916708865014,,1500,1475,1380,1504,1509,1509,1500,2036
1531943917026052873,1062,1531943917025054292,,1500,1465,1388,1496,1492,1492,1500,2036
1531943917341896718,1063,1531943917341524050,,1500,1464,1380,1484,1467,1467,1500,2036
1531943917698082785,1064,1531943917697876516,,1500,1482,1356,1471,1442,1442,1500,2036
1531943917967928403,1065,1531943917967162587,,1500,1498,1332,1462,1423,1423,1500,2036
1531943918296539282,1066,1531943918294513896,,1500,1512,1340,1460,1419,1419,1500,2036
1531943918653254212,1067,1531943918647326436,,1500,1530,1348,1465,1429,1429,1500,2036
1531943918920498773,1068,1531943918920109689,,1500,1540,1340,1471,1442,1442,1500,2036
1531943919256749445,1069,1531943919254111073,,1500,1552,1356,1482,1464,1464,1500,2036
1531943919585781572,1070,1531943919585596806,,1500,1564,1380,1491,1482,1482,1500,2036
1531943920006386990,1071,1531943920005429528,,1500,1564,1388,1502,1505,1505,1500,2036
