%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1531943811446161609,16,1531943811444782586,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811466654243,17,1531943811465692143,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811485204886,18,1531943811484774044,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811507573785,19,1531943811506814915,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811524754974,20,1531943811523903529,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811546108141,21,1531943811545290328,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811569232870,22,1531943811566125294,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811586095183,23,1531943811585488279,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811607303201,24,1531943811606440844,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811629372743,25,1531943811628964236,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811643749232,26,1531943811643208534,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811669605862,27,1531943811667226116,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811686500814,28,1531943811685281726,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811711931306,29,1531943811704895235,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811724091310,30,1531943811723043356,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811745787994,31,1531943811745137762,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811764586890,32,1531943811764255150,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811786362804,33,1531943811785727612,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811809627851,34,1531943811808951764,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811834615340,35,1531943811834024820,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811844238929,36,1531943811843435772,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811865946620,37,1531943811864725772,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811885114760,38,1531943811884690765,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811908371071,39,1531943811907923013,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811924123222,40,1531943811923615261,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811944533010,41,1531943811944121943,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811967165489,42,1531943811965550886,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943811986311485,43,1531943811985316745,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812006288286,44,1531943812005363274,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812025546601,45,1531943812025140718,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812044609270,46,1531943812043693634,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812064407066,47,1531943812063710147,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812084464378,48,1531943812083863106,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812104998133,49,1531943812104504347,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812124412478,50,1531943812123956836,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812144095747,51,1531943812143681480,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812164876219,52,1531943812164362753,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812188018004,53,1531943812185787696,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812205020603,54,1531943812204220646,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812224546051,55,1531943812223952074,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812243748974,56,1531943812243152886,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812264311496,57,1531943812263900558,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812286140626,58,1531943812285671000,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812307051336,59,1531943812306059061,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812326504689,60,1531943812324814630,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812343821396,61,1531943812343040318,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812365495296,62,1531943812364964295,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812384454447,63,1531943812384142867,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812406646612,64,1531943812406176698,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812428580317,65,1531943812426549463,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812446072350,66,1531943812443288737,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812463308323,67,1531943812463014534,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812486881622,68,1531943812483871517,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812505096814,69,1531943812503793439,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812525495371,70,1531943812524250395,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812545428525,71,1531943812544541624,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812566359394,72,1531943812565883624,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812586058056,73,1531943812585432368,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812608378411,74,1531943812607020829,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812625449394,75,1531943812624840954,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812641058539,76,1531943812640517298,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812663327152,77,1531943812662954740,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812685511829,78,1531943812684281637,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812706994948,79,1531943812706287021,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812724942303,80,1531943812724361927,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812744529958,81,1531943812743300021,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812766008692,82,1531943812765446939,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812789417834,83,1531943812788824338,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812808450200,84,1531943812807068169,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812829464908,85,1531943812827880256,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812844867624,86,1531943812843171902,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812865300004,87,1531943812864726731,1,1,1472,-220.0,73.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812881319992,88,1531943812880565890,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812905083273,89,1531943812904146613,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812925318408,90,1531943812923791675,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812944384597,91,1531943812943888315,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812964755890,92,1531943812964246968,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943812987141940,93,1531943812985150062,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813019192541,94,1531943813015175504,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813028575014,95,1531943813023536198,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813044139104,96,1531943813043686534,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813065082518,97,1531943813064601340,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813085533842,98,1531943813085030905,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813106172940,99,1531943813105672882,1,1,1472,-220.0,74.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813120922449,100,1531943813120530102,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813144580900,101,1531943813143525170,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813164867426,102,1531943813164468903,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813185578043,103,1531943813185056834,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813206314644,104,1531943813205651772,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813227163595,105,1531943813226347125,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813244169139,106,1531943813243680025,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813265463972,107,1531943813264873228,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813285928545,108,1531943813285416423,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813306667641,109,1531943813306054753,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813335287086,110,1531943813334957874,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813344911315,111,1531943813343959743,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813363641733,112,1531943813363053549,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813390165524,113,1531943813387205306,1,1,1472,-220.0,76.4,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813401280615,114,1531943813400651823,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813425271702,115,1531943813423996391,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813446156237,116,1531943813443789547,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813462845081,117,1531943813462279744,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813483571826,118,1531943813483082136,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813504845668,119,1531943813504163084,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813525523421,120,1531943813524102703,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813544541611,121,1531943813543390202,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813564566157,122,1531943813564108499,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813585075880,123,1531943813584068949,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813605018827,124,1531943813604131638,1,1,1472,-220.0,78.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813623926939,125,1531943813620670020,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813643004392,126,1531943813642600590,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813664876499,127,1531943813663880991,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813687515539,128,1531943813687076185,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813706141158,129,1531943813705676716,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813724560412,130,1531943813723979236,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813746343112,131,1531943813743471692,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813764400578,132,1531943813763881129,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813785044380,133,1531943813784551810,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813809820737,134,1531943813808905997,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813829280106,135,1531943813827267236,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813845688730,136,1531943813844736838,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813863738132,137,1531943813862941567,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813883881908,138,1531943813883402235,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813904412144,139,1531943813903937686,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813926375897,140,1531943813924918731,1,1,1472,-220.0,82.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813941097246,141,1531943813940540101,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813962987208,142,1531943813962267025,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943813983258950,143,1531943813982867499,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814005339694,144,1531943814004715414,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814024090336,145,1531943814023452680,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814047561462,146,1531943814047000413,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814063467789,147,1531943814062846389,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814083747692,148,1531943814083215890,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814104871584,149,1531943814104394182,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814124871362,150,1531943814124238986,1,1,1472,-220.0,86.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814141558031,151,1531943814140656186,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814164903751,152,1531943814163742901,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814186131898,153,1531943814184219058,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814204952427,154,1531943814204302483,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814227622764,155,1531943814224721392,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814244128442,156,1531943814243564866,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814264018718,157,1531943814263025867,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814283214187,158,1531943814282826608,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814303837829,159,1531943814303357868,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814326682564,160,1531943814325461907,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814345281208,161,1531943814344840830,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814364101961,162,1531943814362021412,1,1,1472,-220.0,90.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814381017747,163,1531943814380566969,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814403522294,164,1531943814402711552,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814423599703,165,1531943814423075070,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814443186431,166,1531943814442766980,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814468233057,167,1531943814467681416,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814483441889,168,1531943814483002566,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814505204077,169,1531943814504452662,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814524683734,170,1531943814524154684,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814546041287,171,1531943814544738871,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814566164584,172,1531943814565817932,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814584752252,173,1531943814584003046,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814608334897,174,1531943814607797144,1,1,1472,-220.0,94.0,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814621068144,175,1531943814620555894,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814648828208,176,1531943814648433173,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814665524700,177,1531943814665058114,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814684894855,178,1531943814684098225,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814704578669,179,1531943814703941781,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814729055351,180,1531943814727530762,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814743425601,181,1531943814742839368,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814762754956,182,1531943814762424368,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814784072477,183,1531943814783320071,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814804475003,184,1531943814803916514,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814824486845,185,1531943814823311948,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814843663914,186,1531943814843035378,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814862314653,187,1531943814861972738,1,1,1472,-220.0,98.8,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814882836985,188,1531943814880546934,1,1,1472,-220.0,105.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814903851695,189,1531943814902845852,1,1,1472,-220.0,105.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814924078990,190,1531943814923170714,1,1,1472,-220.0,105.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814942939871,191,1531943814942238120,1,1,1472,-220.0,105.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
1531943814963904534,192,1531943814963103872,1,1,1472,-220.0,105.2,50.0,0.0,16.0,-0.0,0.0,0.0,0.0,0.0,0.0
