%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1531943928069316472,793,1531943928068884797,,1531943927960000000,fcu
1531943928608122987,794,1531943928607782191,,1531943928479000000,fcu
1531943929024952779,795,1531943929024701486,,1531943928899000000,fcu
1531943929369765130,796,1531943929369611756,,1531943929260000000,fcu
1531943929849789778,797,1531943929847331244,,1531943929743000000,fcu
1531943930336507286,798,1531943930334249966,,1531943930222000000,fcu
1531943930751163158,799,1531943930750883161,,1531943930622000000,fcu
1531943931164772867,800,1531943931164422599,,1531943931042000000,fcu
1531943931614747827,801,1531943931613090244,,1531943931480000000,fcu
1531943932096942607,802,1531943932096533076,,1531943931981000000,fcu
1531943932651614771,803,1531943932649970757,,1531943932520000000,fcu
1531943933102010821,804,1531943933101790695,,1531943933002000000,fcu
1531943933550257137,805,1531943933549962420,,1531943933441000000,fcu
1531943933992332894,806,1531943933992017473,,1531943933879000000,fcu
1531943934408237922,807,1531943934406654834,,1531943934279000000,fcu
1531943934867957400,808,1531943934867300415,,1531943934759000000,fcu
1531943935205095868,809,1531943935204837566,,1531943935099000000,fcu
1531943935627822269,810,1531943935627595007,,1531943935519000000,fcu
1531943936327435904,811,1531943936325673746,,1531943936199000000,fcu
1531943936922602097,812,1531943936922212053,,1531943936801000000,fcu
1531943937471173554,813,1531943937470763350,,1531943937344000000,fcu
1531943937892339596,814,1531943937890606782,,1531943937760000000,fcu
1531943938327765589,815,1531943938327463736,,1531943938222000000,fcu
1531943938852960081,816,1531943938852745811,,1531943938743000000,fcu
1531943939264327450,817,1531943939263709057,,1531943939144000000,fcu
1531943939714315728,818,1531943939714070131,,1531943939599000000,fcu
1531943940266623640,819,1531943940265850496,,1531943940159000000,fcu
1531943940768271093,820,1531943940764521948,,1531943940659000000,fcu
1531943941157153872,821,1531943941156614038,,1531943941023000000,fcu
1531943941708543242,822,1531943941708134894,,1531943941583000000,fcu
1531943942202627710,823,1531943942199047875,,1531943942081000000,fcu
1531943942721726255,824,1531943942720317918,,1531943942598000000,fcu
