time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.framing_status,.magic,.len,.incompat_flags,.compat_flags,.seq,.sysid,.compid,.msgid,.checksum,.payload64,.signature
2018/07/18/15:56:50.892792,35111,1531943810,890096867,,1,254,31,0,0,210,1,1,1,36767,"(99638014348753983, 901967379519, 65535, 13834776580305453056L)",
2018/07/18/15:56:50.892959,35112,1531943810,890536349,,1,254,6,0,0,211,1,1,125,59195,"(99360697169744656,)",
2018/07/18/15:56:50.904192,35113,1531943810,903586070,,1,254,4,0,0,212,1,1,152,64074,"(99360699565735936,)",
2018/07/18/15:56:50.906082,35114,1531943810,905589757,,1,254,2,0,0,213,1,1,42,62957,"(99360699565735936,)",
2018/07/18/15:56:50.907953,35115,1531943810,907461445,,1,254,26,0,0,214,1,1,62,36196,"(13878833041678519501L, 14081983038342152847L, 18423662772392933472L, 13834776580305453063L)",
2018/07/18/15:56:50.911280,35116,1531943810,910198082,,1,254,51,0,0,215,1,1,87,46458,"(1743390163898072592, 4881388308592085572, 0, 13728998579551338496L, 13536654861212048426L, 4722863090523176960, 3618418210673917944)",
2018/07/18/15:56:50.912906,35117,1531943810,912436933,,1,254,21,0,0,216,1,1,36,16900,"(425596608154466228, 506944168400127516, 133432796)",
2018/07/18/15:56:50.914158,35118,1531943810,913778036,,1,254,22,0,0,217,1,1,35,27416,"(431226647938465298, 573091397803443724, 133432287)",
2018/07/18/15:56:50.915560,35119,1531943810,915120163,,1,254,42,0,0,218,1,1,65,11987,"(431226647938465298, 573091397803443724, 426159617453851615, 426159617419642346, 99223018, 4722863090523176976)",
2018/07/18/15:56:50.924940,35120,1531943810,918360569,,1,254,31,0,0,219,1,1,1,46763,"(99638014348753983, 906262346815, 65535, 432064089250856960)",
2018/07/18/15:56:50.924991,35121,1531943810,921793550,,1,254,6,0,0,220,1,1,125,51544,"(99360697170727761,)",
2018/07/18/15:56:50.925061,35122,1531943810,922187400,,1,254,4,0,0,221,1,1,152,51325,"(99360699565735936,)",
2018/07/18/15:56:50.925550,35123,1531943810,923086653,,1,254,2,0,0,222,1,1,42,33647,"(99360699565735936,)",
2018/07/18/15:56:50.933502,35124,1531943810,933112669,,1,254,30,0,0,223,1,1,24,41360,"(917028000, 15015085081720112105L, 31244005883108262, 432081699245590399)",
2018/07/18/15:56:50.935011,35125,1531943810,934724360,,1,254,26,0,0,224,1,1,62,38247,"(13879283403359240847L, 14081983038342152847L, 18423662772392933472L, 432081699245588487)",
2018/07/18/15:56:50.936544,35126,1531943810,936276404,,1,254,51,0,0,225,1,1,87,16986,"(1743390163898072635, 4881388308592085572, 0, 13470514820474208256L, 13699584273787101295L, 4722863090523176960, 3618418210673917944)",
2018/07/18/15:56:50.954852,35127,1531943810,954325485,,1,254,26,0,0,226,1,1,27,3101,"(917070586, 578987537400398010, 18323175729992040614L, 13470514820474208506L)",
2018/07/18/15:56:50.957173,35128,1531943810,956811534,,1,254,22,0,0,227,1,1,116,38942,"(9007852090687054, 18396360585594141201L, 18323176537448186283L)",
2018/07/18/15:56:50.958484,35129,1531943810,958016126,,1,254,14,0,0,228,1,1,29,30527,"(4932363772989668942, 18396385840931228843L)",
2018/07/18/15:56:50.959715,35130,1531943810,959213519,,1,254,20,0,0,229,1,1,74,57970,"(4727516485726674042, 4612609317273484329, 18323176533167243346L)",
2018/07/18/15:56:50.962937,35131,1531943810,962386502,,1,254,28,0,0,230,1,1,30,41341,"(13747444785483742799L, 4591570046203090876, 4474396092804568623, 13470514823666179672L)",
2018/07/18/15:56:50.972271,35132,1531943810,971668656,,1,254,24,0,0,231,1,1,178,55427,"(4437738141035105865, 1068515253, 0)",
2018/07/18/15:56:50.973941,35133,1531943810,973530616,,1,254,40,0,0,232,1,1,182,39736,"(4414904604537625328, 4881339047185216206, 15015087774664606675L, 0, 0)",
2018/07/18/15:56:50.975278,35134,1531943810,974877191,,1,254,31,0,0,233,1,1,1,11952,"(99638014348753983, 932032150591, 65535, 71776119061217280)",
2018/07/18/15:56:50.977564,35135,1531943810,977175817,,1,254,6,0,0,234,1,1,125,13140,"(99360697173873521,)",
2018/07/18/15:56:50.988987,35136,1531943810,988403802,,1,254,4,0,0,235,1,1,152,25807,"(99360699565735936,)",
2018/07/18/15:56:50.990881,35137,1531943810,990339361,,1,254,2,0,0,236,1,1,42,25246,"(99360699565735936,)",
2018/07/18/15:56:50.993687,35138,1531943810,993109053,,1,254,26,0,0,237,1,1,62,30827,"(13851631300100997775L, 14080684510823170703L, 18423381293120788660L, 71776119061217289)",
2018/07/18/15:56:50.996723,35139,1531943810,996070040,,1,254,51,0,0,238,1,1,87,44271,"(1743390163898072692, 4881388308592085572, 0, 4509070058495934464, 13754992130749319197L, 4722759208149188608, 3618418210673917944)",
2018/07/18/15:56:51.012442,35140,1531943811,9592875,,1,254,12,0,0,239,1,1,168,23238,"(4682620148909113045, 4881388305096114176)",
2018/07/18/15:56:51.013716,35141,1531943811,12666372,,1,254,12,0,0,240,1,1,2,61477,"(1531943810900000, 4881388305097031304)",
2018/07/18/15:56:51.013762,35142,1531943811,13141470,,1,254,31,0,0,241,1,1,1,36012,"(99638014348753983, 906262346815, 65535, 4539346949412749312)",
2018/07/18/15:56:51.018465,35143,1531943811,18008736,,1,254,6,0,0,242,1,1,125,31665,"(99360697175118711,)",
2018/07/18/15:56:51.024154,35144,1531943811,23661431,,1,254,4,0,0,243,1,1,152,58513,"(99360699565735936,)",
2018/07/18/15:56:51.025306,35145,1531943811,24886472,,1,254,2,0,0,244,1,1,42,2491,"(99360699565735936,)",
2018/07/18/15:56:51.026912,35146,1531943811,26555315,,1,254,26,0,0,245,1,1,62,47155,"(13852171735835853455L, 14080684510823170703L, 18423381293120788660L, 4539346949412749321)",
2018/07/18/15:56:51.056639,35147,1531943811,56148345,,1,254,51,0,0,246,1,1,87,40142,"(1743390163898072754, 4881388308592085572, 0, 4539889356537593856, 13780259337452310954L, 4722759208149188608, 3618418210673917944)",
2018/07/18/15:56:51.059204,35148,1531943811,58755352,,1,254,26,0,0,247,1,1,27,14563,"(917171040, 532262828702171253, 18336405148383707263L, 4539889356537594181)",
2018/07/18/15:56:51.062040,35149,1531943811,60126534,,1,254,22,0,0,248,1,1,116,13812,"(18441396422815121075L, 18383412551970716192L, 18336124785810801048L)",
2018/07/18/15:56:51.062561,35150,1531943811,61617171,,1,254,14,0,0,249,1,1,29,1541,"(4932376928474496691, 18383437987708399324L)",
2018/07/18/15:56:51.074004,35151,1531943811,73392285,,1,254,9,0,0,250,1,1,0,4100,"(349313748927774735, 18383437987708399107L)",
2018/07/18/15:56:51.076507,35152,1531943811,75885917,,1,254,31,0,0,251,1,1,1,39566,"(99638014348753983, 910557314111, 65535, 4611404543450677248)",
2018/07/18/15:56:51.079640,35153,1531943811,78952694,,1,254,6,0,0,252,1,1,125,40124,"(99360697175642990,)",
2018/07/18/15:56:51.081517,35154,1531943811,81081627,,1,254,4,0,0,253,1,1,152,16196,"(99360699565735936,)",
2018/07/18/15:56:51.082293,35155,1531943811,81868209,,1,254,2,0,0,254,1,1,42,57580,"(99360699565735936,)",
2018/07/18/15:56:51.083593,35156,1531943811,83228511,,1,254,48,0,0,255,1,1,174,41876,"(4726721467926903260, 4837448391964825224, 4608012439475609008, 0, 4812096202906128737, 3856831416898158592)",
2018/07/18/15:56:51.088867,35157,1531943811,88314271,,1,254,26,0,0,0,1,1,62,24403,"(13808396746255197798L, 14082486571734778511L, 18422818334576947890L, 11)",
2018/07/18/15:56:51.092015,35158,1531943811,91439031,,1,254,51,0,0,1,1,1,87,53272,"(1743390163898072792, 4881388308592085572, 0, 4546327327830704128, 13792387698030959538L, 4722903373021446144, 3618418210673917944)",
2018/07/18/15:56:51.114623,35159,1531943811,112356300,,1,254,28,0,0,2,1,1,33,47267,"(1743389880430231276, 1635011646214137, 542121071432731677, 4546327328356695964)",
2018/07/18/15:56:51.115330,35160,1531943811,114881836,,1,254,28,0,0,3,1,1,32,37146,"(4769137625419087596, 13983530271905050966L, 4727132086113177882, 4546327331043547106)",
2018/07/18/15:56:51.117045,35161,1531943811,116670773,,1,254,31,0,0,4,1,1,1,10634,"(99638014348753983, 901967379519, 65535, 4611404543450677248)",
2018/07/18/15:56:51.118598,35162,1531943811,118278112,,1,254,6,0,0,5,1,1,125,4186,"(99360697174332292,)",
2018/07/18/15:56:51.121457,35163,1531943811,119298483,,1,254,4,0,0,6,1,1,152,48272,"(99360699565735936,)",
2018/07/18/15:56:51.140701,35164,1531943811,140281735,,1,254,2,0,0,7,1,1,42,13956,"(99360699565735936,)",
2018/07/18/15:56:51.143632,35165,1531943811,142891238,,1,254,30,0,0,8,1,1,24,54181,"(917229000, 15015087044520166353L, 31244005883108442, 4611422153421031309)",
2018/07/18/15:56:51.146162,35166,1531943811,144898861,,1,254,26,0,0,9,1,1,62,33536,"(13820646534148658299L, 14082486571734778511L, 18422818334576947890L, 4611422153421029387)",
2018/07/18/15:56:51.148329,35167,1531943811,147425260,,1,254,51,0,0,10,1,1,87,59636,"(1743390163898072835, 4881388308592085572, 0, 4550504913670504448, 13802422536930719358L, 4722903373021446144, 3618418210673917944)",
2018/07/18/15:56:51.149300,35168,1531943811,148959641,,1,254,26,0,0,11,1,1,27,15566,"(917252265, 491730638214398047, 18354138119162560711L, 4550504913670504835)",
2018/07/18/15:56:51.150592,35169,1531943811,150269096,,1,254,22,0,0,12,1,1,116,14094,"(18432388991632146180L, 18389042330668235379L, 18353858349292650695L)",
2018/07/18/15:56:51.153382,35170,1531943811,153056388,,1,254,14,0,0,13,1,1,29,2462,"(4932385724567518999, 18389067482948137674L)",
2018/07/18/15:56:51.154655,35171,1531943811,154362868,,1,254,42,0,0,14,1,1,150,10207,"(418079605631951, 4342153224053069682, 13600332080634861086L, 13732851688089032766L, 18439988385412266474L, 4722903373021446147)",
2018/07/18/15:56:51.187595,35172,1531943811,186809910,,1,254,31,0,0,15,1,1,1,35559,"(99638014348753983, 940622085183, 65535, 13762718986267525120L)",
2018/07/18/15:56:51.190928,35173,1531943811,190328009,,1,254,6,0,0,16,1,1,125,45476,"(99360697173218138,)",
2018/07/18/15:56:51.193115,35174,1531943811,192033491,,1,254,4,0,0,17,1,1,152,43750,"(99360699565735936,)",
2018/07/18/15:56:51.194500,35175,1531943811,194019770,,1,254,2,0,0,18,1,1,42,29678,"(99360699565735936,)",
2018/07/18/15:56:51.216621,35176,1531943811,213545281,,1,254,26,0,0,19,1,1,62,54195,"(13701030930450559795L, 14086078130768251453L, 18422818334576204146L, 13762718986267525133L)",
2018/07/18/15:56:51.220176,35177,1531943811,218911420,,1,254,51,0,0,20,1,1,87,15642,"(1743390163898072912, 4881388308592085572, 12069647002451836928L, 4548611469403304242, 13814797604725783923L, 4723190697743613952, 3618418210673917944)",
2018/07/18/15:56:51.221529,35178,1531943811,221134720,,1,254,31,0,0,21,1,1,1,1055,"(99638014348753983, 940622085183, 65535, 4611404543450677248)",
2018/07/18/15:56:51.223676,35179,1531943811,223277220,,1,254,6,0,0,22,1,1,125,8846,"(99360697171972993,)",
2018/07/18/15:56:51.228698,35180,1531943811,227265074,,1,254,4,0,0,23,1,1,152,3833,"(99360699565735936,)",
2018/07/18/15:56:51.234290,35181,1531943811,233987516,,1,254,2,0,0,24,1,1,42,39609,"(99360699565735936,)",
2018/07/18/15:56:51.235488,35182,1531943811,235159757,,1,254,26,0,0,25,1,1,62,5432,"(13741383183283595510L, 14086078130768251453L, 18422818334576204146L, 4611404543450677261)",
2018/07/18/15:56:51.237524,35183,1531943811,237263026,,1,254,51,0,0,26,1,1,87,53439,"(1743390163898072932, 4881388308592085572, 12069647002451836928L, 4547848571542384946, 13816698222243528013L, 4723190697743613952, 3618418210673917944)",
2018/07/18/15:56:51.238807,35184,1531943811,238479139,,1,254,26,0,0,27,1,1,27,53617,"(917349794, 361971485697703969, 18373841419075649743L, 4547848571542372783)",
2018/07/18/15:56:51.241040,35185,1531943811,239973391,,1,254,22,0,0,28,1,1,116,2345,"(18436610892944506725L, 18404523527371029312L, 18373561924082073721L)",
2018/07/18/15:56:51.245031,35186,1531943811,244416855,,1,254,14,0,0,29,1,1,29,60445,"(4932376949949333370, 18404548602372683448L)",
2018/07/18/15:56:51.283600,35187,1531943811,279828755,,1,254,21,0,0,30,1,1,36,55727,"(430100207782215403, 461344526382990644, 18373561679409841628L)",
2018/07/18/15:56:51.283634,35188,1531943811,282121718,,1,254,22,0,0,31,1,1,35,29916,"(436855670731308941, 573091397803443724, 18373560579898213343L)",
2018/07/18/15:56:51.287626,35189,1531943811,284426968,,1,254,42,0,0,32,1,1,65,21791,"(436855670731308941, 573091397803443724, 426159617453851615, 426159617419642346, 99223018, 4723190697743613968)",
2018/07/18/15:56:51.291536,35190,1531943811,287570160,,1,254,9,0,0,86,255,190,0,55805,"(8821862825984, 573091397803443715)",
2018/07/18/15:56:51.291567,35191,1531943811,288377030,,1,253,9,0,0,87,255,190,0,44693,"(8821862825984, 573091397803443715)",
2018/07/18/15:56:51.291682,35192,1531943811,289980433,,1,254,31,0,0,33,1,1,1,29845,"(99638014348753983, 957801954367, 65535, 432064089250856960)",
2018/07/18/15:56:51.298116,35193,1531943811,292683855,,1,254,6,0,0,34,1,1,125,33888,"(99360697168827217,)",
2018/07/18/15:56:51.298152,35194,1531943811,293918271,,1,254,4,0,0,35,1,1,152,14769,"(99360699565735936,)",
2018/07/18/15:56:51.298171,35195,1531943811,296690044,,1,254,2,0,0,36,1,1,42,64873,"(99360699565735936,)",
2018/07/18/15:56:51.298729,35196,1531943811,298419334,,1,254,26,0,0,37,1,1,62,58905,"(4584664423921292411, 14087399782404409262L, 18442803238327201092L, 432064089250856974)",
2018/07/18/15:56:51.300633,35197,1531943811,300193743,,1,254,51,0,0,38,1,1,87,37511,"(1743390163898072992, 4881388308592085572, 12069647002451836928L, 4541050394227061042, 13822788344135277972L, 4723307641114198016, 3618418210673917944)",
2018/07/18/15:56:51.320042,35198,1531943811,319618391,,1,254,28,0,0,39,1,1,163,50956,"(13588294534966363594L, 1004676169, 4464826178745663488, 4541050394624427594)",
2018/07/18/15:56:51.320618,35199,1531943811,320336654,,1,254,3,0,0,40,1,1,165,16158,"(13588294534965498737L,)",
2018/07/18/15:56:51.322026,35200,1531943811,321633982,,1,254,22,0,0,41,1,1,136,23197,"(15015090952940405733L, 4759813613331154057, 4464757523693437028)",
2018/07/18/15:56:51.323123,35201,1531943811,322633489,,1,254,22,0,0,42,1,1,193,58252,"(4435438664925931974, 4503498842699844267, 4464759649702248448)",
2018/07/18/15:56:51.324151,35202,1531943811,323819362,,1,254,32,0,0,43,1,1,241,19510,"(917431429, 4642009785690744081, 1085264106, 0)",
2018/07/18/15:56:51.325399,35203,1531943811,324932019,,1,254,31,0,0,44,1,1,1,60884,"(99638014348753983, 970686856255, 65535, 71776119061217280)",
2018/07/18/15:56:51.327080,35204,1531943811,326742780,,1,254,6,0,0,45,1,1,125,59621,"(99360697170989935,)",
2018/07/18/15:56:51.328905,35205,1531943811,328519814,,1,254,4,0,0,46,1,1,152,13411,"(99360699565735936,)",
2018/07/18/15:56:51.335557,35206,1531943811,335156241,,1,254,2,0,0,47,1,1,42,35819,"(99360699565735936,)",
2018/07/18/15:56:51.337451,35207,1531943811,337072761,,1,254,30,0,0,48,1,1,24,18729,"(917430000, 15015088968665514951L, 31243992998206794, 71794828535465851)",
2018/07/18/15:56:51.339119,35208,1531943811,338575909,,1,254,26,0,0,49,1,1,62,6978,"(4585024711547874181, 14087399782404409262L, 18442803238327201092L, 71794828535463950)",
2018/07/18/15:56:51.341934,35209,1531943811,340802249,,1,254,51,0,0,50,1,1,87,21735,"(1743390163898073035, 4881388308592085572, 12069647002451836928L, 4528533455072211250, 13827126050650801113L, 4723307641114198016, 3618418210673917944)",
2018/07/18/15:56:51.360142,35210,1531943811,359648952,,1,254,26,0,0,51,1,1,27,47300,"(917471263, 197590253917962247, 18391574385562550486L, 4528533455072199116)",
2018/07/18/15:56:51.364917,35211,1531943811,364507482,,1,254,22,0,0,52,1,1,116,10636,"(18435484872778579935L, 18423945373740366669L, 18391295015121518656L)",
2018/07/18/15:56:51.366058,35212,1531943811,365618092,,1,254,14,0,0,53,1,1,29,21209,"(4932365533926260705, 18423970367175813957L)",
2018/07/18/15:56:51.368560,35213,1531943811,367886927,,1,254,28,0,0,54,1,1,33,22652,"(1743389914789969889, 1637330928554498, 531143435671866936, 4528533454929657673)",
2018/07/18/15:56:51.370513,35214,1531943811,370113267,,1,254,28,0,0,55,1,1,32,15102,"(4769236465501470689, 13984136351919481565L, 4726248808902273379, 4528533457636848162)",
2018/07/18/15:56:51.372236,35215,1531943811,371657983,,1,254,20,0,0,56,1,1,74,18420,"(4726256819063566483, 13756243555406224425L, 4726248807851425870)",
2018/07/18/15:56:51.376570,35216,1531943811,376102471,,1,254,28,0,0,57,1,1,30,4473,"(4494979945835921392, 4588762121150329715, 4486651068999079191, 4528533457602890212)",
2018/07/18/15:56:51.378771,35217,1531943811,378340682,,1,254,24,0,0,58,1,1,178,62749,"(4468699802209737441, 1068041574, 0)",
2018/07/18/15:56:51.380561,35218,1531943811,380105043,,1,254,40,0,0,59,1,1,182,53211,"(4462771957064097906, 4881479784672956118, 15015091511286154212L, 0, 0)",
2018/07/18/15:56:51.386178,35219,1531943811,385712940,,1,254,31,0,0,60,1,1,1,15205,"(99638014348753983, 1043701300287, 65535, 71776119061217280)",
2018/07/18/15:56:51.388339,35220,1531943811,387864560,,1,254,6,0,0,61,1,1,125,12508,"(99360697174004599,)",
2018/07/18/15:56:51.390012,35221,1531943811,389037633,,1,254,4,0,0,62,1,1,152,52215,"(99360699565735936,)",
2018/07/18/15:56:51.403076,35222,1531943811,400641613,,1,254,2,0,0,63,1,1,42,15906,"(99360699565735936,)",
2018/07/18/15:56:51.428779,35223,1531943811,428375852,,1,254,26,0,0,64,1,1,62,6811,"(4608083141124583588, 14061609328429676626L, 18442521763350731975L, 71776119061217296)",
2018/07/18/15:56:51.430683,35224,1531943811,430309107,,1,254,51,0,0,65,1,1,87,13361,"(1743390163898073134, 4881388308592085572, 12069647002451836928L, 4470197474091151666, 13836268657339373281L, 4723484993198751744, 3618418210673917944)",
2018/07/18/15:56:51.450533,35225,1531943811,450130550,,1,254,31,0,0,66,1,1,1,61905,"(99638014348753983, 1017931496511, 65535, 4539346949412749312)",
2018/07/18/15:56:51.453287,35226,1531943811,452834867,,1,254,6,0,0,67,1,1,125,57429,"(99360697173414750,)",
2018/07/18/15:56:51.472092,35227,1531943811,471433510,,1,254,4,0,0,68,1,1,152,49417,"(99360699565735936,)",
2018/07/18/15:56:51.479550,35228,1531943811,472780501,,1,254,2,0,0,69,1,1,42,50745,"(99360699565735936,)",
2018/07/18/15:56:51.479620,35229,1531943811,475650640,,1,254,26,0,0,70,1,1,27,48056,"(917589132, 18139649187577004010L, 18412122041677054169L, 4539346949412749785)",
2018/07/18/15:56:51.479643,35230,1531943811,476929696,,1,254,22,0,0,71,1,1,116,24717,"(18424788681929654357L, 18400582937667631815L, 18411842959006433243L)",
2018/07/18/15:56:51.479765,35231,1531943811,478143473,,1,254,14,0,0,72,1,1,29,7634,"(4932363442277187669, 18400607939814420359L)",
2018/07/18/15:56:51.510913,35232,1531943811,510223543,,1,254,12,0,0,73,1,1,168,25472,"(4680375027769112368, 18400607938742845440L)",
2018/07/18/15:56:51.513262,35233,1531943811,512746263,,1,254,12,0,0,74,1,1,2,33907,"(1531943811398000, 18400607938743763067L)",
2018/07/18/15:56:51.516057,35234,1531943811,515600563,,1,254,31,0,0,75,1,1,1,9651,"(99638014348753983, 1035111365695, 65535, 4539346949412749312)",
2018/07/18/15:56:51.518795,35235,1531943811,518091059,,1,254,6,0,0,76,1,1,125,50644,"(99360697169417050,)",
2018/07/18/15:56:51.520212,35236,1531943811,519831485,,1,254,4,0,0,77,1,1,152,62270,"(99360699565735936,)",
2018/07/18/15:56:51.546100,35237,1531943811,545233529,,1,254,2,0,0,78,1,1,42,45243,"(99360699565735936,)",
2018/07/18/15:56:51.548431,35238,1531943811,547819320,,1,254,30,0,0,79,1,1,24,22680,"(917629000, 15015090892810863552L, 31243992998207114, 4539365658889815904)",
2018/07/18/15:56:51.551267,35239,1531943811,550348183,,1,254,26,0,0,80,1,1,62,48302,"(4601597955255954309, 14066158072461650821L, 18442521763350969080L, 4539365658889814034)",
2018/07/18/15:56:51.553705,35240,1531943811,553297362,,1,254,51,0,0,81,1,1,87,65155,"(1743390163898073235, 4881388308592085572, 12069647002451836928L, 13648284617022452018L, 13842817705076546336L, 4723848892892839936, 3618418210673917944)",
2018/07/18/15:56:51.556635,35241,1531943811,556192077,,1,254,21,0,0,82,1,1,36,63588,"(431789057642741806, 370426721620460876, 12069647001486362076L)",
2018/07/18/15:56:51.558156,35242,1531943811,557805496,,1,254,22,0,0,83,1,1,35,826,"(436855670731309203, 573091397803378188, 12069647001486361567L)",
2018/07/18/15:56:51.559325,35243,1531943811,559006857,,1,254,42,0,0,84,1,1,65,3026,"(436855670731309203, 573091397803378188, 426159617453851615, 426159617419642346, 99223018, 4723848892892839952)",
2018/07/18/15:56:51.563396,35244,1531943811,562885335,,1,254,31,0,0,85,1,1,1,45160,"(99638014348753983, 1047996267583, 65535, 432064089250856960)",
2018/07/18/15:56:51.566221,35245,1531943811,565652308,,1,254,6,0,0,86,1,1,125,7546,"(99360697175905156,)",
2018/07/18/15:56:51.572515,35246,1531943811,572048066,,1,254,4,0,0,87,1,1,152,59546,"(99360699565735936,)",
2018/07/18/15:56:51.573331,35247,1531943811,572949431,,1,254,26,0,0,88,1,1,27,36162,"(917688993, 18013548586989715425L, 18401707463248576589L, 432064089250857425)",
2018/07/18/15:56:51.574558,35248,1531943811,574177575,,1,254,22,0,0,89,1,1,116,52180,"(18429292165592907961L, 18422537414590266112L, 18401428303261663208L)",
2018/07/18/15:56:51.587109,35249,1531943811,585951505,,1,254,14,0,0,90,1,1,29,22079,"(4932361299088507084, 18422562983703350195L)",
2018/07/18/15:56:51.588755,35250,1531943811,588243732,,1,254,31,0,0,91,1,1,1,42089,"(99638014348753983, 1065176136767, 65535, 432064089250856960)",
2018/07/18/15:56:51.591061,35251,1531943811,590558870,,1,254,6,0,0,92,1,1,125,6242,"(99360697172759409,)",
2018/07/18/15:56:51.617563,35252,1531943811,617018821,,1,254,4,0,0,93,1,1,152,3242,"(99360699565735936,)",
2018/07/18/15:56:51.618864,35253,1531943811,618455634,,1,254,2,0,0,94,1,1,42,1394,"(99360699565735936,)",
2018/07/18/15:56:51.621998,35254,1531943811,620176188,,1,254,26,0,0,95,1,1,62,38925,"(4597995078990023885, 14071795375954041241L, 18442521763351203972L, 432064089250856980)",
2018/07/18/15:56:51.623809,35255,1531943811,623091319,,1,254,51,0,0,96,1,1,87,41213,"(1743390163898073313, 4881388308592085572, 12069647002451836928L, 13680590553569112370L, 13847356076759012861L, 4724299877343821824, 3618418210673917944)",
2018/07/18/15:56:51.634947,35256,1531943811,633781711,,1,254,28,0,0,97,1,1,33,669,"(1743389850365460724, 1640938701083729, 509751144168329599, 13680590553414041328L)",
2018/07/18/15:56:51.635857,35257,1531943811,635568568,,1,254,28,0,0,98,1,1,32,51039,"(4769048083940901108, 13985081180299437428L, 4724520456064222153, 13680590556138216989L)",
2018/07/18/15:56:51.636365,35258,1531943811,636094097,,1,254,31,0,0,99,1,1,1,63878,"(99638014348753983, 1043701300287, 65535, 13690661392229597184L)",
2018/07/18/15:56:51.637406,35259,1531943811,637189859,,1,254,6,0,0,100,1,1,125,32601,"(99360697168827210,)",
2018/07/18/15:56:51.638029,35260,1531943811,637850939,,1,254,4,0,0,101,1,1,152,31693,"(99360699565735936,)",
2018/07/18/15:56:51.638498,35261,1531943811,638329973,,1,254,2,0,0,102,1,1,42,3540,"(99360699565735936,)",
2018/07/18/15:56:51.661847,35262,1531943811,660672568,,1,254,26,0,0,103,1,1,62,15789,"(4598355366616618762, 14071795375954041241L, 18442521763351203972L, 13690661392229597204L)",
2018/07/18/15:56:51.664943,35263,1531943811,664274090,,1,254,51,0,0,104,1,1,87,20306,"(1743390163898073355, 4881388308592085572, 12069647002451836928L, 13672049968151343410L, 13848843110400945034L, 4724299877343821824, 3618418210673917944)",
2018/07/18/15:56:51.669816,35264,1531943811,668401653,,1,254,26,0,0,105,1,1,27,15174,"(917771296, 18043948180828585969L, 18401707463254212579L, 13672049968151331281L)",
2018/07/18/15:56:51.670435,35265,1531943811,670082240,,1,254,22,0,0,106,1,1,116,2520,"(18432951464844198155L, 18445899403872369467L, 18401428303261663208L)",
2018/07/18/15:56:51.671417,35266,1531943811,671072019,,1,254,14,0,0,107,1,1,29,51512,"(4932355874544812301, 18445643927498894709L)",
2018/07/18/15:56:51.712087,35267,1531943811,706409808,,1,254,31,0,0,108,1,1,1,37406,"(99638014348753983, 1069471104063, 65535, 13690661392229597184L)",
2018/07/18/15:56:51.712106,35268,1531943811,708556149,,1,254,6,0,0,109,1,1,125,16877,"(99360697174528903,)",
2018/07/18/15:56:51.712188,35269,1531943811,709602183,,1,254,4,0,0,110,1,1,152,53760,"(99360699565735936,)",
2018/07/18/15:56:51.740484,35270,1531943811,740006755,,1,254,2,0,0,111,1,1,42,19693,"(99360699565735936,)",
2018/07/18/15:56:51.742409,35271,1531943811,741786957,,1,254,30,0,0,112,1,1,24,61965,"(917829000, 15015092791186408376L, 31243992998207564, 13690680101705484076L)",
2018/07/18/15:56:51.743510,35272,1531943811,743021181,,1,254,26,0,0,113,1,1,62,6281,"(4595473061308921282, 14076955834997528330L, 18442521763351435537L, 13690680101705482262L)",
