%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1531943840085852828,287,1531943840085379394,,1,1,1,GUIDED,4
1531943841087993255,288,1531943841087665035,,1,1,1,GUIDED,4
1531943842079019534,289,1531943842078578131,,1,1,1,GUIDED,4
1531943843106037916,290,1531943843105003593,,1,1,1,GUIDED,4
1531943844104249626,291,1531943844103421028,,1,1,1,GUIDED,4
1531943845069746324,292,1531943845066675128,,1,1,1,GUIDED,4
1531943846077098608,293,1531943846076858515,,1,1,1,GUIDED,4
1531943847097273324,294,1531943847096717746,,1,1,1,GUIDED,4
1531943848083240915,295,1531943848082527388,,1,1,1,GUIDED,4
1531943849066596812,296,1531943849061949155,,1,1,1,GUIDED,4
1531943850088956750,297,1531943850087974137,,1,1,1,GUIDED,4
1531943851098026275,298,1531943851097691943,,1,1,1,GUIDED,4
1531943852066735847,299,1531943852066095630,,1,1,1,GUIDED,4
1531943853085943470,300,1531943853085102520,,1,1,1,GUIDED,4
1531943854075815201,301,1531943854075158760,,1,1,1,GUIDED,4
1531943855088036452,302,1531943855087756103,,1,1,1,GUIDED,4
1531943856075939670,303,1531943856075629338,,1,1,1,GUIDED,4
1531943857120449318,304,1531943857119659663,,1,1,1,GUIDED,4
1531943858133887672,305,1531943858133243744,,1,1,1,GUIDED,4
1531943859059829271,306,1531943859059591386,,1,1,1,GUIDED,4
1531943860076985218,307,1531943860076650246,,1,1,1,GUIDED,4
1531943861129318090,308,1531943861123882825,,1,1,1,GUIDED,4
1531943862109412845,309,1531943862108967954,,1,1,1,GUIDED,4
1531943863065664437,310,1531943863065188283,,1,1,1,GUIDED,4
1531943864072323465,311,1531943864070248097,,1,1,1,GUIDED,4
1531943865091210724,312,1531943865090962567,,1,1,1,GUIDED,4
1531943866087859633,313,1531943866087592500,,1,1,1,GUIDED,4
1531943867084648783,314,1531943867084330451,,1,1,1,GUIDED,4
1531943868090337561,315,1531943868089913182,,1,1,1,GUIDED,4
1531943869077453544,316,1531943869076887086,,1,1,1,GUIDED,4
1531943870086067538,317,1531943870085465337,,1,1,1,GUIDED,4
1531943871086920265,318,1531943871085568504,,1,1,1,GUIDED,4
1531943872073396533,319,1531943872072699965,,1,1,1,GUIDED,4
1531943873083699717,320,1531943873083106924,,1,1,1,GUIDED,4
1531943874072999986,321,1531943874071230438,,1,1,1,GUIDED,4
1531943875066369700,322,1531943875066119367,,1,1,1,GUIDED,4
1531943876086978896,323,1531943876086727571,,1,1,1,GUIDED,4
1531943877095623030,324,1531943877094669697,,1,1,1,GUIDED,4
1531943878105490818,325,1531943878105053703,,1,1,1,GUIDED,4
1531943879098755864,326,1531943879098425500,,1,1,1,GUIDED,4
1531943880078241307,327,1531943880077908127,,1,1,1,GUIDED,4
1531943881079060669,328,1531943881077083539,,1,1,1,GUIDED,4
1531943882082472945,329,1531943882082063701,,1,1,1,GUIDED,4
1531943883071500120,330,1531943883070713313,,1,1,1,GUIDED,4
1531943884090506079,331,1531943884089740007,,1,1,1,GUIDED,4
1531943885093756229,332,1531943885093343114,,1,1,1,GUIDED,4
1531943886080860114,333,1531943886079877181,,1,1,1,GUIDED,4
1531943887087904752,334,1531943887087201528,,1,1,1,GUIDED,4
1531943888056353514,335,1531943888053992964,,1,1,1,GUIDED,4
1531943889092445314,336,1531943889090641334,,1,1,1,GUIDED,4
1531943890083255649,337,1531943890082884005,,1,1,1,GUIDED,4
1531943891049451843,338,1531943891048028210,,1,1,1,GUIDED,4
1531943892079034901,339,1531943892078069920,,1,1,1,GUIDED,4
1531943893061537535,340,1531943893061023013,,1,1,1,GUIDED,4
1531943894094411340,341,1531943894093077755,,1,1,1,GUIDED,4
1531943895098897058,342,1531943895098332648,,1,1,1,GUIDED,4
1531943896074552835,343,1531943896073960650,,1,1,1,GUIDED,4
1531943897104637721,344,1531943897103949441,,1,1,1,GUIDED,4
1531943898097939571,345,1531943898092000916,,1,1,1,GUIDED,4
1531943899058607425,346,1531943899058224389,,1,1,1,GUIDED,4
1531943900086707322,347,1531943900086127105,,1,1,1,GUIDED,4
1531943901092646006,348,1531943901092327258,,1,1,1,GUIDED,4
1531943902085781644,349,1531943902083906785,,1,1,1,GUIDED,4
1531943903094705730,350,1531943903094123816,,1,1,1,GUIDED,4
1531943904075751030,351,1531943904075296699,,1,1,1,GUIDED,4
1531943905061335910,352,1531943905060030741,,1,1,1,GUIDED,4
1531943906077191545,353,1531943906076956860,,1,1,1,GUIDED,4
1531943907076530607,354,1531943907076138643,,1,1,1,GUIDED,4
1531943908059610403,355,1531943908058928907,,1,1,1,GUIDED,4
1531943909074806727,356,1531943909074194926,,1,1,1,GUIDED,4
1531943910081650356,357,1531943910080755230,,1,1,1,GUIDED,4
1531943911097885511,358,1531943911096013883,,1,1,1,GUIDED,4
1531943912101662768,359,1531943912101234676,,1,1,1,GUIDED,4
1531943913085224286,360,1531943913084607108,,1,1,1,GUIDED,4
1531943914153230762,361,1531943914152524049,,1,1,1,GUIDED,4
1531943915075125128,362,1531943915074506031,,1,1,1,GUIDED,4
1531943916094348508,363,1531943916091452475,,1,1,1,GUIDED,4
1531943917079610635,364,1531943917079054865,,1,1,1,GUIDED,4
1531943918117122036,365,1531943918116549082,,1,1,1,GUIDED,4
1531943919080091976,366,1531943919078362042,,1,1,1,GUIDED,4
1531943920083002491,367,1531943920082758334,,1,1,1,GUIDED,4
1531943921083928018,368,1531943921080614806,,1,1,1,GUIDED,4
1531943922061788650,369,1531943922058426030,,1,1,1,GUIDED,4
1531943923078314193,370,1531943923077780695,,1,1,1,GUIDED,4
1531943924090248149,371,1531943924089692955,,1,1,1,GUIDED,4
1531943925069991674,372,1531943925069350113,,1,1,1,GUIDED,4
1531943926075245759,373,1531943926074876195,,1,1,1,GUIDED,4
1531943927088965493,374,1531943927088450266,,1,1,1,GUIDED,4
1531943928070432428,375,1531943928070106288,,1,1,1,GUIDED,4
1531943929090278072,376,1531943929089872892,,1,1,1,GUIDED,4
1531943930072036226,377,1531943930071009101,,1,1,1,GUIDED,4
1531943931119437890,378,1531943931118671210,,1,1,1,GUIDED,4
1531943932075839598,379,1531943932075481650,,1,1,1,GUIDED,4
1531943933066072704,380,1531943933065793442,,1,1,1,GUIDED,4
1531943934078538674,381,1531943934077735930,,1,1,1,GUIDED,4
1531943935076892832,382,1531943935076480453,,1,1,1,GUIDED,4
1531943936097548016,383,1531943936096080703,,1,1,1,GUIDED,4
1531943937087748875,384,1531943937084675051,,1,1,1,GUIDED,4
1531943938052724985,385,1531943938052348893,,1,1,1,GUIDED,4
1531943939099530776,386,1531943939099107133,,1,1,1,GUIDED,4
1531943940056530640,387,1531943940056161556,,1,1,1,GUIDED,4
1531943941084611814,388,1531943941084309674,,1,1,1,GUIDED,4
1531943942070508290,389,1531943942069891688,,1,1,1,GUIDED,4
1531943943091000927,390,1531943943090494948,,1,1,1,GUIDED,4
