time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2018/07/18/15:57:05.779607,1360,1531943825,778847441,base_link,0,1,40.5928201,-79.8996232,356.961527878,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:06.046412,1361,1531943826,45994950,base_link,0,1,40.5928277,-79.8995838,357.121564886,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:06.140576,1362,1531943826,140105114,base_link,0,1,40.5928325,-79.8995436,357.401603858,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:06.369098,1363,1531943826,368794096,base_link,0,1,40.592835,-79.8995032,357.75164398,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:06.542707,1364,1531943826,542445709,base_link,0,1,40.5928359,-79.899463,358.091684556,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:06.733711,1365,1531943826,733406805,base_link,0,1,40.5928357,-79.8994234,358.431724976,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:06.975969,1366,1531943826,975075113,base_link,0,1,40.5928347,-79.8993841,358.85176542,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:07.178994,1367,1531943827,178577179,base_link,0,1,40.5928334,-79.8993455,359.271805277,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:07.342647,1368,1531943827,342063194,base_link,0,1,40.5928318,-79.8993072,359.681844954,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:07.563678,1369,1531943827,563218482,base_link,0,1,40.5928304,-79.8992694,360.011884042,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:07.746307,1370,1531943827,745375979,base_link,0,1,40.5928293,-79.899232,360.371922603,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:07.959308,1371,1531943827,958909122,base_link,0,1,40.5928284,-79.8991947,360.691960981,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:08.172826,1372,1531943828,172188607,base_link,0,1,40.592828,-79.8991578,360.911998749,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:08.359308,1373,1531943828,359021762,base_link,0,1,40.5928283,-79.899121,361.08203613,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:08.536354,1374,1531943828,535958656,base_link,0,1,40.5928292,-79.8990841,361.242073369,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:08.748274,1375,1531943828,747994701,base_link,0,1,40.5928308,-79.8990471,361.372110425,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:08.989827,1376,1531943828,989527023,base_link,0,1,40.592833,-79.8990101,361.402147237,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:09.195153,1377,1531943829,194859828,base_link,0,1,40.5928356,-79.8989728,361.402184192,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:09.347097,1378,1531943829,346814793,base_link,0,1,40.5928387,-79.8989351,361.382221352,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:09.537867,1379,1531943829,536664685,base_link,0,1,40.5928419,-79.8988971,361.442258779,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:09.739392,1380,1531943829,739008599,base_link,0,1,40.5928453,-79.8988586,361.472296635,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:09.935762,1381,1531943829,935155181,base_link,0,1,40.5928489,-79.8988198,361.412334718,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:10.145759,1382,1531943830,145438969,base_link,0,1,40.5928524,-79.8987809,361.352372946,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:10.338914,1383,1531943830,338572249,base_link,0,1,40.5928556,-79.8987413,361.352412014,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:10.550395,1384,1531943830,550190391,base_link,0,1,40.5928587,-79.8987012,361.332451634,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:10.746865,1385,1531943830,746306034,base_link,0,1,40.5928614,-79.8986612,361.30249132,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:10.937213,1386,1531943830,936728180,base_link,0,1,40.5928637,-79.8986209,361.202531479,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:11.162032,1387,1531943831,161834768,base_link,0,1,40.5928653,-79.8985806,361.122571927,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:11.371730,1388,1531943831,371224365,base_link,0,1,40.592866,-79.8985399,361.092613157,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:11.565137,1389,1531943831,564879915,base_link,0,1,40.5928661,-79.8984991,361.172654737,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:11.768655,1390,1531943831,768284082,base_link,0,1,40.5928657,-79.8984579,361.392696935,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:11.944501,1391,1531943831,943786414,base_link,0,1,40.5928654,-79.8984167,361.642739094,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:12.123615,1392,1531943832,123228509,base_link,0,1,40.5928653,-79.8983757,361.832780969,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:12.367992,1393,1531943832,367686580,base_link,0,1,40.5928653,-79.8983347,361.932822806,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:12.518462,1394,1531943832,518211718,base_link,0,1,40.5928652,-79.8982937,361.992864688,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:12.720079,1395,1531943832,719617643,base_link,0,1,40.5928651,-79.8982526,362.022906674,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:12.941350,1396,1531943832,940520065,base_link,0,1,40.5928648,-79.8982113,362.102948949,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:13.139645,1397,1531943833,138877294,base_link,0,1,40.5928646,-79.89817,362.212991187,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:13.377379,1398,1531943833,377032343,base_link,0,1,40.5928642,-79.8981287,362.383033509,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:13.542631,1399,1531943833,542340536,base_link,0,1,40.5928632,-79.8980874,362.683076081,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:13.766150,1400,1531943833,765899475,base_link,0,1,40.5928628,-79.8980464,362.743118103,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
2018/07/18/15:57:13.939512,1401,1531943833,939060116,base_link,0,1,40.5928623,-79.8980054,362.803160169,"(0.3844000059127808, 0.0, 0.0, 0.0, 0.3844000059127808, 0.0, 0.0, 0.0, 1.5376000236511231)",1
